listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,transitcore/cinematic-camera,cinematic-camera,162,0,0,0,0,0,0,0,0,0,0,0,0,3,2,24,7,21,14,12,59,20
map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,155,0,0,0,0,0,0,0,7,6,8,9,4,4,3,7,7,19,14,8,58,1
map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,155,0,0,0,0,0,0,0,0,0,0,0,1,8,0,2,19,23,20,4,78,0
map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,153,106,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
map,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,148,0,0,0,0,14,1,7,4,6,7,5,3,6,0,0,6,10,8,5,66,0
map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,148,40,8,7,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
map,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,141,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,9,10,6,0,42,2
map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,130,31,6,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
map,rome,Rome,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,128,27,6,4,6,5,0,0,0,0,0,4,0,2,0,0,11,7,3,1,52,0
map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-waterloo-map,sb-waterloo-map,122,33,3,10,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0
map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,120,36,5,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,barkuperman/tlv-mod,TLV-mod,112,43,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,109,32,3,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
map,mfn-madisonwi,Madison,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/sb-maps-msn,sb-maps-msn,104,0,0,0,0,4,4,1,2,4,0,6,4,1,0,0,0,4,5,0,69,0
map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,93,27,6,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,danield1909/improvedtwincities,improvedTwinCities,92,0,0,0,0,2,3,1,1,2,1,4,1,3,0,0,0,5,2,0,67,0
